"","Fit4","model"
"1",5.94422273712707e-108,"Null model"
"2",2.60339938259495e-70,"Side model"
"3",5.74298586345834e-33,"Digit model"
"4",NA,"Full model"
"5",5.3701817463621e-108,"Null model"
"6",2.36577570415138e-70,"Side model"
"7",5.35255814623503e-33,"Digit model"
"8",NA,"Full model"
"9",5.02419125035762e-108,"Null model"
"10",2.17645790693561e-70,"Side model"
"11",4.57477127139385e-33,"Digit model"
"12",NA,"Full model"
"13",4.75621841118302e-108,"Null model"
"14",2.09146126940939e-70,"Side model"
"15",4.54742164616822e-33,"Digit model"
"16",NA,"Full model"
"17",5.16239620837501e-108,"Null model"
"18",2.31455079844094e-70,"Side model"
"19",5.12840884361061e-33,"Digit model"
"20",NA,"Full model"
"21",5.09834644169368e-108,"Null model"
"22",2.21131349350225e-70,"Side model"
"23",4.5509775547532e-33,"Digit model"
"24",NA,"Full model"
"25",4.74562067925155e-108,"Null model"
"26",2.10141783181286e-70,"Side model"
"27",4.96363937640101e-33,"Digit model"
"28",NA,"Full model"
"29",4.8925300512322e-108,"Null model"
"30",2.17593738887739e-70,"Side model"
"31",4.58051987331783e-33,"Digit model"
"32",NA,"Full model"
"33",4.77942098616081e-108,"Null model"
"34",2.06942876119539e-70,"Side model"
"35",4.29587119976207e-33,"Digit model"
"36",NA,"Full model"
"37",5.64227400150551e-108,"Null model"
"38",2.48764293170717e-70,"Side model"
"39",5.36073292345437e-33,"Digit model"
"40",NA,"Full model"
